formula,smiles_format,mol_wt,pubchem_status,pubchem_cid,iupac_name,structure,RotationalconstantA,RotationalconstantB,RotationalconstantC,Dipolemoment,HOMO,LUMO,EnergyGap,Zeropointenergy,Finalsinglepointenergy,Totalthermalenergy,TotalEnthalpy,Totalentropy,Gibbsfreeenergy
C5H6,[CH2]C1=C(C1)[CH2],66.1018,1,139726.0,"1,2-dimethanidylcyclopropene",HD0725_agg.xyz,0.365493,0.138587,0.102577,0.16471,-6.5888559304668,-1.2401316622687002,5.3487242681981,0.08905202,-193.779193370516,-193.68494366,-193.68399946,0.03385052,-193.71784998
C8H5,[CH](C1=CC1)C#CC#C,101.127,0,,"1-penta-2,4-diynylcyclopropene",HD0726_agg.xyz,0.299581,0.02606,0.024091,0.71143,-5.51109460279145,-0.8158245351840501,4.6952700676074,0.09045722,-307.219388450171,-307.12078085,-307.11983664,0.04206316,-307.1618998
C10H3,C#C[C]1[C]=[C]C=CC2=C1[C]2,123.13339999999998,0,,"2-ethynylbicyclo[5.1.0]octa-1(7),2,5-triene",HD0727_agg.xyz,0.105612,0.036813,0.027299,3.54806,-5.8034809351537,-2.7778470314442,3.0256339037095,0.08080671,-382.020534909088,-381.93147347,-381.93052926,0.04262834,-381.9731576
C9H8,C1=CC2=C[C@@H]3[C@@H]4[C@@]2(C1)[C@H]34,116.1614,0,,"(1S,7S,8R,9R)-tetracyclo[5.3.0.01,5.08,9]deca-3,5-diene",HD0728_agg.xyz,0.123013,0.061688,0.045211,1.06179,-5.30570306843405,-0.5800378837258,4.72566518470825,0.13789721,-347.185333599121,-347.04120261,-347.0402584,0.03734029,-347.0775987
C6H4,C1[CH]C=C1C#[C],76.0972,1,86017151.0,1-ethynylcyclobutene,HD0729_agg.xyz,0.427842,0.086321,0.07284,6.46775,-6.9415699034849,-3.47399589517835,3.4675740083065496,0.07237889,-230.51829579955,-230.44037735,-230.43943314,0.03533139,-230.47476453
C8H4,[C]=CC1=[C][C@H]2[C@H]3[C]1[C@@H]23,100.1192,0,,"(1S,5R,6R)-3-ethenyltricyclo[3.1.0.02,6]hex-2-ene",HD0730_agg.xyz,0.238326,0.05606,0.053479,4.04969,-6.4508942082633,-2.397867250606,4.0530269576573,0.07950604,-306.424142725382,-306.3378484,-306.33690419,0.03833381,-306.375238
C6H8,CCC#CC=C,80.1284,1,139568.0,hex-1-en-3-yne,HD0731_agg.xyz,0.608689,0.043318,0.041098,0.6437,-6.2830543852749,-0.6379709224972501,5.64508346277765,0.11773302,-233.06257295248,-232.93739205,-232.93644784,0.03984376,-232.9762916
C6H5,C1[CH][C]=[C]C=C1,77.105,1,11605.0,"cyclohexa-1,3-diene",HD0732_agg.xyz,0.212158,0.176887,0.098866,2.28875,-4.9069746432964,-1.82612883932045,3.08084580397595,0.08303739,-231.15975690747,-231.07153071,-231.0705865,0.03486648,-231.10545298
C6H5,C#C[CH][C@@H]1C=C1,77.105,1,86017182.0,(3R)-3-prop-2-ynylcyclopropene,HD0733_agg.xyz,0.631546,0.058796,0.058034,1.1741,-5.0361742995138,-0.1413903567198,4.894783942794,0.07970468,-231.135584141055,-231.04946387,-231.04851966,0.03739338,-231.08591304
C7H1,C#C[C][C]1[C]2[C]1[C]2,85.0848,0,,"(2R,3R)-2-prop-2-ynylbicyclo[1.1.0]butane",HD0734_agg.xyz,1.240513,0.042483,0.041077,5.26015,-6.927991422344951,-2.9681634584839,3.9598279638610494,0.03800639,-266.601671297953,-266.55706888,-266.55612467,0.03800822,-266.5941329
C6H5,[CH2]C1=C[C@H]1C#C,77.105,0,,(3R)-3-ethynyl-1-methylcyclopropene,HD0735_agg.xyz,0.28042,0.081743,0.069125,0.93968,-5.8948567661516,0.6714953488788501,6.56635211503045,0.07977081,-231.141556371186,-231.0554743,-231.0545301,0.03725059,-231.09178069
C9H4,C1=CC2=C([C]2)C2=CC2=C1,112.1302,0,,"tricyclo[5.1.0.02,4]octa-1(8),2(4),5-triene",HD0736_agg.xyz,0.09018,0.073629,0.040535,4.94662,-5.77969818462,-2.92682936459295,2.85286882002705,0.08953953,-344.623397125302,-344.52707116,-344.52612695,0.03867444,-344.56480139
C8H5,C1[CH]C=C1C#CC#C,101.127,0,,"1-buta-1,3-diynylcyclobutene",HD0737_agg.xyz,0.432427,0.026601,0.025181,1.16636,-5.1572105402162,-0.88412511165955,4.27308542855665,0.09241013,-307.247522586214,-307.14747081,-307.1465266,0.0409272,-307.1874538
C7H8,[CH2]C1=CC=C[C@H]1C,92.1394,1,138982809.0,"(5R)-1-methanidyl-5-methylcyclopenta-1,3-diene",HD0738_agg.xyz,0.129013,0.105507,0.058681,0.76003,-5.68502977603105,-1.79287652678935,3.8921532492417,0.12539732,-271.157479047974,-271.02553052,-271.02458631,0.03757462,-271.06216093
C5H6,C=C1CC1=C,66.1018,1,12756113.0,"1,2-dimethylidenecyclopropane",HD0739_agg.xyz,0.365481,0.138601,0.102584,0.16518,-6.58888314185185,-1.2397779142630498,5.349105227588801,0.08905382,-193.779196241626,-193.68494449,-193.68400028,0.03385113,-193.71785141
C7H6,[CH2]C1=C[C]2[C@H]1C=C2,90.1238,0,,"(1S)-2-methylbicyclo[2.2.0]hexa-2,5-diene",HD0740_agg.xyz,0.223714,0.084233,0.067579,0.96577,-5.75436438513845,-1.5237287172598,4.23063566787865,0.10130621,-269.813039904357,-269.70604765,-269.70510344,0.0357506,-269.74085405
C7H1,C#C[C@]12[C]3[C@]41[C@]23[C]4,85.0848,0,,"(1S,2R,4R)-2-ethynyltetracyclo[2.1.0.01,3.02,4]pentane",HD0741_agg.xyz,0.401471,0.070472,0.069124,3.44531,-7.141165412826651,-2.9699594098972,4.171206002929451,0.03714429,-266.493463818984,-266.4501614,-266.4492172,0.03706828,-266.48628548
C7H2,[C]=C1[C]2[C]1[CH][CH][C]2,86.0926,1,556304.0,"(1R,4R)-5-methylidenebicyclo[2.1.0]pentane",HD0742_agg.xyz,0.332679,0.085353,0.071705,4.33435,-6.64199976546945,-3.7471709896953,2.8948287757741498,0.05227836,-267.180056160196,-267.12201126,-267.12106705,0.03585299,-267.15692004
C8H4,C1=C[C@@H]2[C]1[CH][C]1[C]2[C]1,100.1192,1,153130344.0,"(1R,2S)-tricyclo[4.2.0.02,4]octa-7-ene",HD0743_agg.xyz,0.184312,0.075279,0.058028,5.60153,-5.40437155062535,-2.1734821694837,3.23088938114165,0.08388945,-306.557653270288,-306.46797477,-306.46703056,0.03629854,-306.5033291
C8H3,C(#C[C]1C=C1)C1=C[C]1,99.1114,0,,(3S)-3-[2-(cyclopropen-1-yl)ethynyl]cyclopropene,HD0744_agg.xyz,0.56289,0.026046,0.024895,7.52215,-5.0081465729123,-1.70139185025125,3.30675472266105,0.06725601,-305.9157521384,-305.84056504,-305.83962084,0.04166361,-305.88128445
C7H4,c1ccc2c([c]1)[CH]2,88.1082,1,138310.0,"bicyclo[4.1.0]hepta-1(6),2,4-triene",HD0745_agg.xyz,0.183362,0.123099,0.075376,3.65856,-4.982404602655,-2.35457393699145,2.6278306656635504,0.07835264,-268.580695673574,-268.49713434,-268.49619013,0.03464467,-268.5308348
C6H8,C[C@@H]1[C@@H]2[C@H]1C2=C,80.1284,0,,"(1S,2R,3S)-2-methyl-4-methylidenebicyclo[1.1.0]butane",HD0746_agg.xyz,0.492217,0.071998,0.069074,1.59408,-5.88595864324025,0.68172682965765,6.5676854728979,0.11821463,-233.032287578203,-232.90796465,-232.90702044,0.03609728,-232.94311772
C10H3,C#CC1=C([C]1)[C@]12[C][C@@H]3[C]1[C@H]23,123.13339999999998,0,,"(2R,4R,5R)-2-(2-ethynylcyclopropen-1-yl)tricyclo[2.1.0.02,5]pentane",HD0747_agg.xyz,0.147201,0.026786,0.023786,3.74515,-6.1943452700119,-2.3396893093691,3.8546559606428,0.07836723,-381.874982827745,-381.78800362,-381.78705941,0.04372437,-381.83078378
C8H7,C=Cc1[c]cccc1,103.1426,1,7501.0,ethenylcyclohexatriene,HD0748_agg.xyz,0.178734,0.051426,0.039935,0.74346,-6.3065650219581,-1.14998034359805,5.15658467836005,0.12023221,-308.566194538046,-308.43928679,-308.43834258,0.03899908,-308.47734166
C6H6,C=CC1=CC1=C,78.11280000000001,1,18368735.0,1-ethenyl-3-methylidenecyclopropene,HD0749_agg.xyz,0.248201,0.088592,0.065288,2.0814,-5.40007215178745,-1.5653621363863,3.83471001540115,0.09432046,-231.809566022168,-231.70908076,-231.70813656,0.03660318,-231.74473973
C7H7,C1=C[C@@H]2[C]([CH]1)[CH]C2,91.1316,1,148579181.0,(1R)-bicyclo[3.2.0]hept-2-ene,HD0750_agg.xyz,0.196359,0.098771,0.070868,0.40566,-4.76245497729585,-0.20443913588065,4.558015841415201,0.11308926,-270.474013387236,-270.35544555,-270.35450134,0.0359194,-270.39042074
C6H4,C#C[CH]C#C[CH2],76.0972,1,139150.0,"hexa-1,4-diyne",HD0751_agg.xyz,0.639728,0.050462,0.046772,0.46917,-6.347899115849049,-2.1673051850773497,4.1805939307717,0.06997767,-230.577006122161,-230.50067089,-230.49972668,0.03681331,-230.53653998
C8H4,C=C=C1[C]2[C]1[CH][C]=C2,100.1192,0,,(1R)-6-ethenylidenebicyclo[3.1.0]hex-2-ene,HD0752_agg.xyz,0.228462,0.047243,0.041399,1.16658,-6.1028605934738005,-2.4732427871945,3.6296178062793,0.08042855,-306.53995638216,-306.45267951,-306.4517353,0.03850022,-306.49023551
C10H6,C#CC#CCCC#CC#C,126.1568,0,,"deca-1,3,7,9-tetrayne",HD0753_agg.xyz,0.054107,0.020653,0.015351,1.29122,-6.74143016644215,-0.7658372208472,5.975592945594951,0.11450627,-383.922991356293,-383.79803588,-383.79709167,0.04719882,-383.84429049
C8H5,C#C[C][C]1[C]C(=C)C1,101.127,0,,(1R)-3-methylidene-1-prop-2-ynylcyclobutane,HD0754_agg.xyz,0.482138,0.029215,0.027697,1.79113,-5.3371866409369,-2.6827160293094,2.6544706116275,0.08835341,-307.154275952231,-307.05777661,-307.0568324,0.04155515,-307.09838755
C7H6,C=C1C[C@@H]1C1=C[C]1,90.1238,0,,(1S)-1-(cyclopropen-1-yl)-2-methylidenecyclopropane,HD0755_agg.xyz,0.205147,0.061693,0.055704,4.23952,-5.8848973992233,-0.7326937538563,5.152203645367,0.09930473,-269.783759832631,-269.67762125,-269.67667704,0.03844227,-269.71511932
C7H8,C=C1C=CCC=C1,92.1394,1,137859.0,"3-methylidenecyclohexa-1,4-diene",HD0756_agg.xyz,0.172501,0.086621,0.058277,0.95167,-5.7177106494761,-0.79922559030355,4.91848505917255,0.12682161,-271.165186127541,-271.03241781,-271.0314736,0.03635223,-271.06782583
C6H8,C#CC1(C)CC1,80.1284,1,21590560.0,1-ethynyl-1-methylcyclopropane,HD0757_agg.xyz,0.188142,0.101244,0.079214,0.80002,-6.672612573650699,1.28750668364075,7.960119257291449,0.11806132,-233.044875711901,-232.92034023,-232.91939602,0.0368908,-232.95628682
C6H8,C=C1CC(=C)C1,80.1284,1,137297.0,"1,3-dimethylidenecyclobutane",HD0758_agg.xyz,0.349887,0.083082,0.068908,0.00909,-6.50920820642545,-0.31616908289595,6.1930391235295,0.11793324,-233.067258238353,-232.94322961,-232.9422854,0.03620357,-232.97848897
C6H7,CC(=C)[CH]C#C,79.1206,1,12634652.0,2-methylpent-1-en-4-yne,HD0759_agg.xyz,0.283097,0.075518,0.060285,0.41614,-5.2834713668482,0.29342036499415,5.57689173184235,0.10360079,-232.428579560705,-232.31801231,-232.3170681,0.03870699,-232.35577509
C5H3,C=C=C1[C][CH]1,63.0784,1,12868608.0,ethenylidenecyclopropane,HD0760_agg.xyz,1.08651,0.104801,0.096916,3.23717,-5.9973348422499,-1.1569736695559,4.840361172694,0.05078231,-191.844720946932,-191.78873297,-191.78778876,0.03434166,-191.82213042
C5H9,CCC(=C)[CH2],69.12519999999999,1,11240.0,2-methylbut-1-ene,HD0761_agg.xyz,0.254587,0.126461,0.099348,0.29729,-5.300342425579201,0.9620313070577,6.262373732636901,0.12222279,-195.625461404778,-195.49688667,-195.49594246,0.0369574,-195.53289986
C6H8,C=C=CC(=C)C,80.1284,1,139826.0,"2-methylpenta-1,2,3,4-tetraene",HD0762_agg.xyz,0.273275,0.072102,0.058367,0.41016,-6.1848212852444,-0.61865083911175,5.56617044613265,0.1167028,-233.069429662595,-232.94577054,-232.94482634,0.03813177,-232.98295811
C6H2,[CH2]C1=C(C1=[C])[C],74.08160000000001,1,90813065.0,"1,2-dimethanidylcycloprop-2-ene",HD0763_agg.xyz,0.187786,0.141914,0.080829,3.8801,-7.79304135308445,-4.4875383541357,3.30550299894875,0.04511029,-229.163165969735,-229.11187428,-229.11093007,0.03659863,-229.1475287
C6H5,C[C]1[C]2[C@@H]1C2=[CH],77.105,0,,(3R)-2-methyl-4-methylidenebicyclo[1.1.0]butane,HD0764_agg.xyz,0.520358,0.079273,0.073057,2.25612,-5.782419323125,-1.27439079604665,4.508028527078349,0.07991479,-231.081232501799,-230.99507501,-230.9941308,0.03700779,-231.03113859
C8H3,C#C[C]1[C]2[C@]1([CH]2)C#C,99.1114,0,,"(1S,2R)-1,2-diethynylbicyclo[1.1.0]butane",HD0765_agg.xyz,0.110569,0.05878,0.039574,2.44143,-5.6931115573909,-2.2959334022087003,3.3971781551822,0.06692025,-305.921063012157,-305.84663246,-305.84568825,0.04064229,-305.88633054
C9H7,[CH]c1cccc2c1[CH]C2,115.15359999999998,1,12360521.0,"2-methylbicyclo[4.2.0]octa-1(6),2,4-triene",HD0766_agg.xyz,0.088434,0.06472,0.037641,0.3713,-5.41629013727725,-1.93900166450785,3.4772884727694,0.12411592,-346.538679118343,-346.40744927,-346.40650506,0.03990011,-346.44640516
C5H7,C1[CH][C@@H]2[C@H]1C2,67.1096,1,59968295.0,"(1S,4R)-bicyclo[2.1.0]pentane",HD0767_agg.xyz,0.322905,0.211009,0.163591,0.38994,-4.733692543298,1.9618320165648,6.6955245598628,0.1007736,-194.354625609404,-194.24901296,-194.24806875,0.03362347,-194.28169223
C6H8,C1CC=CC=C1,80.1284,1,11605.0,"cyclohexa-1,3-diene",HD0768_agg.xyz,0.168373,0.168027,0.089191,0.427,-5.7460649126982,-0.69593117265375,5.05013374004445,0.12184304,-233.113600031295,-232.98657158,-232.98562737,0.03438163,-233.02000901
C6H3,[CH2][C]C#CC#C,75.0894,1,138254.0,"penta-1,3-diyne",HD0769_agg.xyz,9.531007,0.04219,0.042004,0.19899,-5.5164008228762,-2.1640126074863,3.3523882153899,0.05595629,-229.942108190719,-229.87930442,-229.87836021,0.0374007,-229.91576091
C8H3,C#C[C]1[C]2C1[C]2C#C,99.1114,0,,"(1S,4R)-2,4-diethynylbicyclo[1.1.0]butane",HD0770_agg.xyz,0.577219,0.031161,0.030158,2.02959,-5.62342320027785,-1.7158410957128,3.90758210456505,0.06688129,-305.927167988463,-305.85275957,-305.85181536,0.04035656,-305.89217191
C7H6,C1[C@H]2[C@@H]1C=C2C#C,90.1238,0,,"(1S,4S)-2-ethynylbicyclo[2.1.0]pent-2-ene",HD0771_agg.xyz,0.269375,0.061932,0.055416,0.8176,-5.9478101214589,-1.05452280484265,4.8932873166162505,0.10105007,-269.827003816127,-269.71989972,-269.71895551,0.0366023,-269.7555578
C10H7,C#C[CH]C1=CC=C(C1)C#C,127.16459999999998,0,,"1-ethynyl-4-prop-2-ynylcyclopenta-1,3-diene",HD0772_agg.xyz,0.098744,0.024885,0.019949,0.3519,-4.92708385684835,-1.10524482657585,3.8218390302725,0.1262705,-384.602645853903,-384.46707629,-384.46613208,0.04488398,-384.51101606
C6H1,[C]=C1[C][C]2[C@@H]1[C]2,73.0738,0,,"(1S,3R)-2-methylidenebicyclo[1.1.0]butane",HD0773_agg.xyz,0.423588,0.12987,0.114693,2.33322,-7.238282846070101,-4.501252892200901,2.7370299538692,0.03276942,-228.456104212108,-228.41775888,-228.41681467,0.03558614,-228.45240081
C5H1,[CH]1[C]2[C@]31[C]2[C]3,61.0628,1,12183045.0,"(1S)-tricyclo[1.1.0.01,3]butane",HD0774_agg.xyz,0.676342,0.260514,0.190466,2.88812,-6.8124246700376005,-3.152166844192,3.6602578258456,0.02886962,-190.508307757083,-190.4751729,-190.47422869,0.03203854,-190.50626723
C4H7,CC(=[CH])C,55.0986,1,8255.0,2-methylprop-1-ene,HD0775_agg.xyz,0.327298,0.279708,0.1599,1.00124,-6.1689026249901495,0.59312655993485,6.762029184925,0.09369733,-156.325624645455,-156.22653015,-156.22558594,0.03430512,-156.25989106
C8H9,C1=C[C@H]2[C@H]3[C]1C[C@H]3C2,105.1582,0,,"(1S,5S,8R)-tricyclo[3.2.1.03,8]oct-6-ene",HD0776_agg.xyz,0.115857,0.096009,0.068839,0.94542,-4.75140715496555,0.2093916079597499,4.9607987629253,0.14396132,-309.721639540437,-309.57193596,-309.57099175,0.03670485,-309.6076966
C9H8,C1=C/C(=C\2/C=C2)/C=CC1,116.1614,0,,"(3Z)-3-cycloprop-2-en-1-ylidenecyclohexa-1,4-diene",HD0777_agg.xyz,0.150934,0.035963,0.029197,2.71728,-4.5730365259628005,-0.81136186803585,3.7616746579269504,0.13605907,-347.184479316604,-347.04069139,-347.03974718,0.04071296,-347.08046013
C10H9,C=CCC1=CC=C[C@H]1C#C,129.1802,0,,"(5S)-5-ethynyl-1-prop-2-enylcyclopenta-1,3-diene",HD0778_agg.xyz,0.057325,0.038277,0.024921,0.40665,-5.91300675997995,-0.1169001101748,5.79610664980515,0.14938731,-385.832999742454,-385.67373604,-385.67279183,0.04608434,-385.71887617
C9H2,[CH2]C#CC#CC#CC#[C],110.1146,1,22956828.0,"nona-1,3,5,7-tetrayne",HD0779_agg.xyz,9.496693,0.013343,0.013324,9.30533,-6.409560114372351,-4.6331736869233,1.7763864274490508,0.06124235,-343.372502831011,-343.30188536,-343.30094115,0.04305369,-343.34399484
C6H7,[CH2][C@@H]1C=CC=C1,79.1206,1,25512.0,"(5R)-5-methylcyclopenta-1,3-diene",HD0780_agg.xyz,0.237068,0.124054,0.090968,0.246,-5.349241284514051,-0.6613999250253001,4.687841359488751,0.10565514,-232.439279928854,-232.32764589,-232.32670168,0.03667171,-232.36337339
C9H7,C#C/C=C/[C@@H]1C=CC=C1,115.15359999999998,1,15849550.0,"(5R)-5-[(E)-but-1-en-3-ynyl]cyclopenta-1,3-diene",HD0781_agg.xyz,0.240084,0.024514,0.022243,0.75843,-5.62456607844995,-1.26503007958945,4.3595359988605,0.1223958,-346.58504843109,-346.45451501,-346.4535708,0.04230107,-346.49587187
C9H9,CC1=C2CC=C[C@@H]2C=C1,117.1692,0,,"(3aR)-6-methyl-1,3a-dihydropentalene",HD0782_agg.xyz,0.101536,0.05351,0.035507,1.09336,-5.131903952119701,-0.3301013120415499,4.801802640078151,0.14744983,-347.852022086012,-347.69687719,-347.69593298,0.04118684,-347.73711982
C5H5,C[C@@H]1[C]2[C]1[CH]2,65.094,1,13452188.0,"(2R,3R)-2-methylbicyclo[1.1.0]butane",HD0783_agg.xyz,0.612351,0.143131,0.128907,0.85873,-5.23098060508675,-0.68918274916135,4.541797855925401,0.07764021,-193.077825391112,-192.99528868,-192.99434447,0.03373461,-193.02807907
C8H9,C=C[CH]C1=C[C@@H]1C=C,105.1582,0,,(3S)-3-ethenyl-1-prop-2-enylcyclopropene,HD0784_agg.xyz,0.21165,0.028522,0.026175,0.9831,-5.3405608526831,-0.3361966622927499,5.00436419039035,0.13716661,-309.705999071523,-309.56010117,-309.55915696,0.04330017,-309.60245713
C7H7,C/C=C/1\C[C]1C#C,91.1316,0,,"(1E,2S)-1-ethylidene-2-ethynylcyclopropane",HD0785_agg.xyz,0.287724,0.042771,0.037785,0.86215,-5.1874151776217,0.1603294807146,5.3477446583363,0.10845142,-270.426200381114,-270.30988993,-270.30894572,0.04110237,-270.35004809
C5H4,[C]#C[C]1CC1,64.08619999999999,1,138823.0,ethynylcyclopropane,HD0786_agg.xyz,0.695248,0.111453,0.099954,5.56226,-6.8874736700055,-3.4839824734917,3.4034911965138,0.06517753,-192.462749548852,-192.3924112,-192.39146699,0.03384876,-192.42531576
C8H2,[CH](C#[C])C#CC1=C[C]1,98.1036,0,,"1-penta-1,4-diynylcyclopropene",HD0787_agg.xyz,0.38796,0.025719,0.025149,5.64153,-7.122824939302951,-4.2043222585353,2.9185026807676504,0.0561832,-305.270431883493,-305.20631995,-305.20537574,0.04127378,-305.24664952
C8H6,C#CC1=CC1=C1CC1,102.1348,0,,3-cyclopropylidene-1-ethynylcyclopropene,HD0788_agg.xyz,0.179051,0.036041,0.03037,1.50587,-5.452073108618,-1.61491406856235,3.83715904005565,0.1039982,-307.826161223776,-307.71433763,-307.71339342,0.04082626,-307.75421968
C7H4,C1=CC(=C1)C1=C[C]1,88.1082,0,,1-cyclopropen-1-ylcyclobutadiene,HD0789_agg.xyz,0.348808,0.059792,0.051042,4.35427,-5.7882425595257,-2.9590748558772,2.8291677036485,0.07600586,-268.51426654397,-268.43191263,-268.43096842,0.03739104,-268.46835946
C9H6,C#CC1=C[C@H]2[C@H]3[C@@H]1[C@H]3[C]2,114.1458,0,,"(1R,2S,5R,7R)-3-ethynyltricyclo[3.2.0.02,7]hept-3-ene",HD0790_agg.xyz,0.156932,0.044172,0.038975,2.43135,-5.4463587177575,-0.92962254746315,4.51673617029435,0.11275204,-345.870659236597,-345.751168,-345.75022379,0.03852952,-345.78875331
C6H6,C/C=C/[C]C#C,78.11280000000001,1,5463113.0,(E)-hex-4-en-1-yne,HD0791_agg.xyz,0.379124,0.059164,0.051921,3.00382,-5.0903249557633,-3.0698796158008,2.0204453399625004,0.0912931,-231.747638727954,-231.64891233,-231.64796812,0.03930443,-231.68727255
C6H5,[CH]1C=C[C@H]1C#C,77.105,0,,(3S)-3-ethynylcyclobutene,HD0792_agg.xyz,0.355137,0.086488,0.078085,0.65128,-5.25704911196465,0.47018552227895,5.7272346342436,0.08171011,-231.159417406161,-231.07192707,-231.07098286,0.03617855,-231.10716141
C8H3,[C]C#CC1=CC[C]=C1,99.1114,1,20777511.0,"2-prop-1-ynylcyclopenta-1,3-diene",HD0793_agg.xyz,0.286464,0.039907,0.035028,3.2044,-6.91710686832495,-4.044700273832,2.8724065944929507,0.07085436,-305.941023885597,-305.86336711,-305.8624229,0.03941861,-305.9018415
C4H5,[CH2]C=C=C,53.083,1,11535.0,"buta-1,3-diene",HD0794_agg.xyz,1.392186,0.145666,0.135596,0.11665,-5.1401217904048,0.2255007479093499,5.36562253831415,0.06974452,-155.118508952358,-155.04385801,-155.0429138,0.0330848,-155.0759986
C9H2,C1=Cc2c1[c]c1c([c]2)[C]1,110.1146,1,101190144.0,"tricyclo[5.2.0.03,5]nona-1(7),2,5,8-tetraene",HD0795_agg.xyz,0.173257,0.056437,0.04257,4.60057,-6.68477606276805,-3.42996787416745,3.2548081886006,0.06607746,-343.35427743805,-343.28197991,-343.2810357,0.03735278,-343.31838848
C9H4,C1#C[CH]C#CCC#C[CH]1,112.1302,1,57867215.0,"cyclonona-1,4,7-triyne",HD0796_agg.xyz,0.078023,0.072196,0.037762,0.68893,-5.96432743218425,-2.4550655819811,3.50926185020315,0.08934255,-344.658771429099,-344.56202314,-344.56107893,0.03968105,-344.60075999
C8H8,C=C[C@]12[C@@H]3[C@H]1C=C[C@H]23,104.1504,0,,"(1R,2S,5R,6S)-1-ethenyltricyclo[3.1.0.02,6]hex-3-ene",HD0797_agg.xyz,0.158595,0.055907,0.051896,0.72323,-5.89379552213465,-0.02163305111475,5.8721624710199,0.13046229,-309.123432555059,-308.98628708,-308.98534287,0.03825796,-309.02360084
C8H6,C#CC1=C(CC1)C#C,102.1348,1,101105518.0,"1,2-diethynylcyclobutene",HD0798_agg.xyz,0.090198,0.060389,0.036682,0.46915,-6.151460127173101,-1.53654527961835,4.614914847554751,0.10532235,-307.878681904103,-307.7656959,-307.76475169,0.04046693,-307.80521863
C8H8,C#C[C@@H]1[CH]C=C(C1)[CH2],104.1504,0,,(4R)-4-ethynyl-1-methanidylcyclopentene,HD0799_agg.xyz,0.179991,0.0441,0.037805,0.34987,-6.13630338570025,-0.76678961932395,5.369513766376301,0.13010326,-309.154927618389,-309.01737817,-309.01643396,0.03982179,-309.05625576
C7H7,C[CH]CC#CC#C,91.1316,1,11423559.0,"hepta-1,3-diyne",HD0800_agg.xyz,0.647365,0.027652,0.026808,1.46091,-5.43038563473315,-0.4963084519269499,4.9340771828062,0.10732201,-270.415876356166,-270.2997888,-270.29884459,0.04297817,-270.34182276
C7H4,C1[C@H]2[C@@]31[C]2[C]3C#C,88.1082,0,,"(1R,2S,4R)-2-ethynyltricyclo[2.1.0.01,3]pentane",HD0801_agg.xyz,0.366631,0.058922,0.054421,0.86502,-6.104357219651551,-1.82248251372375,4.2818747059278,0.07614213,-268.498199193955,-268.41601644,-268.41507223,0.03647767,-268.4515499
C6H5,c1[c]cccc1,77.105,1,241.0,cyclohexatriene,HD0802_agg.xyz,0.208331,0.18586,0.098227,0.82658,-6.61598568136165,-0.40237475073435,6.2136109306273,0.08732563,-231.264030051989,-231.17234439,-231.17140018,0.03335127,-231.20475145
C7H7,[CH2]C1=C[C](C1)C=[CH],91.1316,1,13864461.0,3-ethenyl-1-methanidylcyclobutene,HD0803_agg.xyz,0.320818,0.052453,0.045479,0.09291,-5.959402171490201,-1.64751330785225,4.31188886363795,0.11015713,-270.424531402255,-270.30736436,-270.30642015,0.03925966,-270.34567981
C6H5,[C]C#CC(=C)C,77.105,1,136709.0,2-methylpent-1-en-3-yne,HD0804_agg.xyz,0.305262,0.06903,0.056905,4.81433,-5.68981897979985,-3.6568836140994,2.0329353657004496,0.08003677,-231.11311541691,-231.02607772,-231.02513351,0.03910294,-231.06423645
C8H5,C#C[C]1[C@@H]2[C@]1(C2)C#C,101.127,0,,"(1S,2R,3S)-1,2-diethynylbicyclo[1.1.0]butane",HD0805_agg.xyz,0.106026,0.057545,0.039569,1.42118,-4.6947258399064,-0.38583022862395,4.308895611282449,0.09155931,-307.189708912602,-307.09045204,-307.08950783,0.04094885,-307.13045667
C9H7,C=CC=C=C[CH][C]C#C,115.15359999999998,0,,"octa-1,3,4-trien-7-yne",HD0806_agg.xyz,0.075559,0.028116,0.021254,0.43928,-5.52197915681145,-1.7989446656555002,3.72303449115595,0.11788527,-346.494579329764,-346.3665973,-346.36565309,0.04682012,-346.41247322
C9H2,[C]1[C]C=C2[C]([C]1)[C]1[C]2[CH]1,110.1146,1,149389446.0,"(2S,4S)-tricyclo[3.3.0.02,4]oct-1(8)-ene",HD0807_agg.xyz,0.165994,0.058537,0.043418,3.91992,-5.90691140972875,-4.171342059854701,1.7355693498740488,0.06307557,-343.283727347689,-343.21391956,-343.21297535,0.03829297,-343.25126832
C8H2,[C](C1=C[CH]1)C#CC#[C],98.1036,0,,"1-penta-2,4-diynylcyclopropene",HD0808_agg.xyz,1.081333,0.022442,0.021985,11.03645,-5.7079145508581,-3.5974811605352497,2.1104333903228505,0.05679823,-305.303904766434,-305.23932365,-305.23837945,0.04041326,-305.27879271
C6H8,CC1=CC21CC2,80.1284,1,123942912.0,2-methylspiro[2.2]pent-1-ene,HD0809_agg.xyz,0.249215,0.085805,0.076926,1.20638,-5.82995761280735,0.41674236204075,6.2466999748481005,0.11712956,-233.011597203489,-232.8880152,-232.887071,0.03703649,-232.92410749
C6H3,[CH]1[C]2[C]1[C@@]12C=C1,75.0894,0,,"(2R,4R)-spiro[bicyclo[1.1.0]butane-2,3'-cyclopropene]",HD0810_agg.xyz,0.468085,0.104529,0.102579,1.74707,-4.875817607414151,-0.9709022185840002,3.90491538883015,0.05857804,-229.834135363626,-229.77063043,-229.76968622,0.03418852,-229.80387474
